Day-0_pH,Day-0_TDS,Day-0_Temperature,Day-0_Turbidity,Day-0_Dissolved Oxygen,Day-0_Salinity,Day-1_pH,Day-1_TDS,Day-1_Temperature,Day-1_Turbidity,Day-1_Dissolved Oxygen,Day-1_Salinity,Day-2_pH,Day-2_TDS,Day-2_Temperature,Day-2_Turbidity,Day-2_Dissolved Oxygen,Day-2_Salinity,Day-3_pH,Day-3_TDS,Day-3_Temperature,Day-3_Turbidity,Day-3_Dissolved Oxygen,Day-3_Salinity,Day-4_pH,Day-4_TDS,Day-4_Temperature,Day-4_Turbidity,Day-4_Dissolved Oxygen,Day-4_Salinity
6.998160475,817.5892645,22.47281637,79.95383412,5.610873452,0.817589265,9.302857226,973.1995358,21.65824192,114.5445482,5.93670323,0.973199536,8.427975767,1716.367417,18.52307825,88.77334929,7.1907687,1.716367417,7.894633937,713.0085528,27.1453334,21.66236164,3.741866639,0.713008553,6.124074562,1745.816885,24.53248321,35.98123315,4.787006716,1.745816885
9.302857226,973.1995358,21.65824192,114.5445482,5.93670323,0.973199536,8.427975767,1716.367417,18.52307825,88.77334929,7.1907687,1.716367417,7.894633937,713.0085528,27.1453334,21.66236164,3.741866639,0.713008553,6.124074562,1745.816885,24.53248321,35.98123315,4.787006716,1.745816885,6.123978081,221.8621404,32.31401985,40.70594576,1.674392061,0.22186214
8.427975767,1716.367417,18.52307825,88.77334929,7.1907687,1.716367417,7.894633937,713.0085528,27.1453334,21.66236164,3.741866639,0.713008553,6.124074562,1745.816885,24.53248321,35.98123315,4.787006716,1.745816885,6.123978081,221.8621404,32.31401985,40.70594576,1.674392061,0.22186214,5.732334449,1564.756953,15.64219161,46.10099551,8.343123356,1.564756953
7.894633937,713.0085528,27.1453334,21.66236164,3.741866639,0.713008553,6.124074562,1745.816885,24.53248321,35.98123315,4.787006716,1.745816885,6.123978081,221.8621404,32.31401985,40.70594576,1.674392061,0.22186214,5.732334449,1564.756953,15.64219161,46.10099551,8.343123356,1.564756953,8.964704583,1702.717884,27.87735855,89.15647487,3.44905658,1.702717884
6.124074562,1745.816885,24.53248321,35.98123315,4.787006716,1.745816885,6.123978081,221.8621404,32.31401985,40.70594576,1.674392061,0.22186214,5.732334449,1564.756953,15.64219161,46.10099551,8.343123356,1.564756953,8.964704583,1702.717884,27.87735855,89.15647487,3.44905658,1.702717884,7.904460047,404.544423,30.25897757,80.55520918,2.496408972,0.404544423
6.123978081,221.8621404,32.31401985,40.70594576,1.674392061,0.22186214,5.732334449,1564.756953,15.64219161,46.10099551,8.343123356,1.564756953,8.964704583,1702.717884,27.87735855,89.15647487,3.44905658,1.702717884,7.904460047,404.544423,30.25897757,80.55520918,2.496408972,0.404544423,8.332290311,889.1757381,30.18973138,38.44240537,2.524107446,0.889175738
5.732334449,1564.756953,15.64219161,46.10099551,8.343123356,1.564756953,8.964704583,1702.717884,27.87735855,89.15647487,3.44905658,1.702717884,7.904460047,404.544423,30.25897757,80.55520918,2.496408972,0.404544423,8.332290311,889.1757381,30.18973138,38.44240537,2.524107446,0.889175738,5.582337977,372.7245606,32.72147934,19.45767808,1.511408263,0.372724561
8.964704583,1702.717884,27.87735855,89.15647487,3.44905658,1.702717884,7.904460047,404.544423,30.25897757,80.55520918,2.496408972,0.404544423,8.332290311,889.1757381,30.18973138,38.44240537,2.524107446,0.889175738,5.582337977,372.7245606,32.72147934,19.45767808,1.511408263,0.372724561,9.379639409,1427.878052,29.58067486,34.00050863,2.767730057,1.427878052
7.904460047,404.544423,30.25897757,80.55520918,2.496408972,0.404544423,8.332290311,889.1757381,30.18973138,38.44240537,2.524107446,0.889175738,5.582337977,372.7245606,32.72147934,19.45767808,1.511408263,0.372724561,9.379639409,1427.878052,29.58067486,34.00050863,2.767730057,1.427878052,8.829770563,1093.928148,33.55620123,147.8133838,1.177519507,1.093928148
8.332290311,889.1757381,30.18973138,38.44240537,2.524107446,0.889175738,5.582337977,372.7245606,32.72147934,19.45767808,1.511408263,0.372724561,9.379639409,1427.878052,29.58067486,34.00050863,2.767730057,1.427878052,8.829770563,1093.928148,33.55620123,147.8133838,1.177519507,1.093928148,6.349356443,1288.880526,21.653132,75.59657297,5.938747201,1.288880526
5.582337977,372.7245606,32.72147934,19.45767808,1.511408263,0.372724561,9.379639409,1427.878052,29.58067486,34.00050863,2.767730057,1.427878052,8.829770563,1093.928148,33.55620123,147.8133838,1.177519507,1.093928148,6.349356443,1288.880526,21.653132,75.59657297,5.938747201,1.288880526,6.227299869,433.1495856,25.06418834,131.4283707,4.574324666,0.433149586
9.379639409,1427.878052,29.58067486,34.00050863,2.767730057,1.427878052,8.829770563,1093.928148,33.55620123,147.8133838,1.177519507,1.093928148,6.349356443,1288.880526,21.653132,75.59657297,5.938747201,1.288880526,6.227299869,433.1495856,25.06418834,131.4283707,4.574324666,0.433149586,6.233618039,462.904431,15.28159327,128.8253453,8.487362694,0.462904431
8.829770563,1093.928148,33.55620123,147.8133838,1.177519507,1.093928148,6.349356443,1288.880526,21.653132,75.59657297,5.938747201,1.288880526,6.227299869,433.1495856,25.06418834,131.4283707,4.574324666,0.433149586,6.233618039,462.904431,15.28159327,128.8253453,8.487362694,0.462904431,6.716968972,130.9197847,15.13915175,81.61273804,8.544339302,0.130919785
6.349356443,1288.880526,21.653132,75.59657297,5.938747201,1.288880526,6.227299869,433.1495856,25.06418834,131.4283707,4.574324666,0.433149586,6.233618039,462.904431,15.28159327,128.8253453,8.487362694,0.462904431,6.716968972,130.9197847,15.13915175,81.61273804,8.544339302,0.130919785,7.599025727,678.0316936,19.80253241,108.9362792,6.678987036,0.678031694
6.227299869,433.1495856,25.06418834,131.4283707,4.574324666,0.433149586,6.233618039,462.904431,15.28159327,128.8253453,8.487362694,0.462904431,6.716968972,130.9197847,15.13915175,81.61273804,8.544339302,0.130919785,7.599025727,678.0316936,19.80253241,108.9362792,6.678987036,0.678031694,7.227780075,1141.50209,17.01614394,36.98528146,7.793542423,1.14150209
6.233618039,462.904431,15.28159327,128.8253453,8.487362694,0.462904431,6.716968972,130.9197847,15.13915175,81.61273804,8.544339302,0.130919785,7.599025727,678.0316936,19.80253241,108.9362792,6.678987036,0.678031694,7.227780075,1141.50209,17.01614394,36.98528146,7.793542423,1.14150209,6.664916561,1722.973082,20.20422736,106.3755387,6.518309057,1.722973082
